SKU,Name,Variant,Category,Cost Price,Selling Price,Stock,Barcode
GM,"Angle Nipple Master","GI/Brass",Sanitary Fittings,250,250,0,
GZ,"Angle Nipple Z","GI/Brass",Sanitary Fittings,260,260,0,
BLV20MM,"Ball Valve 20mm","PPR",Sanitary Fittings,378,630,7,
BLV25MM,"Ball Valve 25mm","PPR",Sanitary Fittings,699,1165,2,
BLV32MM,"Ball Valve 32mm","PPR",Sanitary Fittings,1140,1900,0,
BLV40MM,"Ball Valve 40mm","PPR",Sanitary Fittings,1887,3145,3,
BVF2,"Ball Valve GI 1/2","GI/Brass",Sanitary Fittings,318,530,0,
BVF4,"Ball Valve GI 3/4","GI/Brass",Sanitary Fittings,360,600,0,
BVIL2,"Ball Valve IL GI 1/2","GI/Brass",Sanitary Fittings,294,490,0,
BVNR,"Ball Valve RBS 1/2","PPR",Sanitary Fittings,294,490,0,
BVF1,"Ball Valve RBS 1in","PPR",Sanitary Fittings,540,900,0,
BVS2,"Ball Valve Shahzad 1/2","Tap/Valve",Sanitary Fittings,330,330,0,
BVS4,"Ball Valve Shahzad 3/4","Tap/Valve",Sanitary Fittings,420,420,0,
BMJ,"Basin Mixer Tempo","Tap/Valve",Accessories,1850,1850,0,
BMYS,"Basin Mixer YS","Tap/Valve",Accessories,1450,1450,0,
BW,"Basin Waste","Bathroom",Accessories,200,200,0,
BAS2,"Bath Accessories Set Good","Bathroom",Accessories,1600,1600,0,
BASS,"Bath Accessories Set Steel","Bathroom",Accessories,1500,1500,0,
BASW,"Bath Accessories Set Wooden","Bathroom",Accessories,1950,1950,0,
PB3,"Bend MFit 3in","PPR",Sanitary Fittings,150,250,0,
PB4,"Bend MFit 4in","PPR",Sanitary Fittings,180,300,0,
BCM,"Bibcock Brass 1/2","Tap/Valve",Accessories,150,150,0,
BCC,"Bibcock China 1/2","Tap/Valve",Accessories,350,350,0,
BCH,"Bibcock Handle 1/2","Tap/Valve",Accessories,150,150,0,
BCN,"Bibcock Nector","Tap/Valve",Accessories,150,150,0,
BCNM,"Bibcock New Master","Tap/Valve",Accessories,450,450,0,
BCT,"Bibcock Plastic 1/2","Tap/Valve",Accessories,135,135,0,
BCYS,"Bibcock YS","Tap/Valve",Accessories,430,430,0,
B,"Blade","General",Accessories,30,30,0,
BKN,"Bolt Kit Normal","General",Accessories,65,65,0,
BKS,"Bolt Kit Steel","General",Accessories,150,150,0,
BH,"Brush Holder","Bathroom",Accessories,250,250,0,
CBA25,"C-Band ACCUFIT 25mm","PPR",Sanitary Fittings,47,65,84,
CBA32,"C-Band ACCUFIT 32mm","PPR",Sanitary Fittings,82,114,132,
