"SKU","Name","Variant","Category","Cost Price","Selling Price","Stock","Barcode","image_url"
"GM","Angle Nipple Master","GI/Brass","Sanitary Fittings","250","250","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"GZ","Angle Nipple Z","GI/Brass","Sanitary Fittings","260","260","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"BLV20MM","Ball Valve 20mm","PPR","Sanitary Fittings","378","630","7","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"BLV25MM","Ball Valve 25mm","PPR","Sanitary Fittings","699","1165","2","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"BLV32MM","Ball Valve 32mm","PPR","Sanitary Fittings","1140","1900","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"BLV40MM","Ball Valve 40mm","PPR","Sanitary Fittings","1887","3145","3","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"BVF2","Ball Valve GI 1/2","GI/Brass","Sanitary Fittings","318","530","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"BVF4","Ball Valve GI 3/4","GI/Brass","Sanitary Fittings","360","600","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"BVIL2","Ball Valve IL GI 1/2","GI/Brass","Sanitary Fittings","294","490","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"BVNR","Ball Valve RBS 1/2","PPR","Sanitary Fittings","294","490","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"BVF1","Ball Valve RBS 1in","PPR","Sanitary Fittings","540","900","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"BVS2","Ball Valve Shahzad 1/2","Tap/Valve","Sanitary Fittings","330","330","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"BVS4","Ball Valve Shahzad 3/4","Tap/Valve","Sanitary Fittings","420","420","0","","https://www.sanitary.pk/admin/assets/uploaded_images/Pipe%20Fittings.jpg"
"BMJ","Basin Mixer Tempo","Tap/Valve","Accessories","1850","1850","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
"BMYS","Basin Mixer YS","Tap/Valve","Accessories","1450","1450","0","","https://www.sanitary.pk/admin/assets/uploaded_images/basin%20mixer.jpeg"
